mechanism_id,mechanism_name,what_we_know,what_we_dont_know,recruiter_question,recruiter_response,process_intervention,marketing_intervention,measurement_plan,result,learning
BM-005,Choice Overload,"INCONCLUSIVE evidence (chi_square_test, p=0.0472, adjusted p=0.0866); direction: lower_joining_with_mechanism.",Whether this association replicates on held-out data (not yet run); whether it is causal; whether it holds within specific client segments.,"When you notice evidence resembling 'Choice Overload' around submitted, ask an open follow-up question rather than assuming intent.",Investigate the specific situation; do not treat this pattern as predictive of any individual candidate's decision.,Candidate for a recruiter coaching note; not yet piloted.,Candidate for messaging review at this journey stage; not yet piloted.,Not yet designed -- requires a defined pilot with pre/post or test/control comparison.,NOT YET TESTED,Pending intervention pilot.
BM-001,Status Quo Bias,"WEAK evidence (chi_square_test, p=0.0198, adjusted p=0.0437); direction: lower_joining_with_mechanism.",Whether this association replicates on held-out data (not yet run); whether it is causal; whether it holds within specific client segments.,"When you notice evidence resembling 'Status Quo Bias' around submitted, ask an open follow-up question rather than assuming intent.",Investigate the specific situation; do not treat this pattern as predictive of any individual candidate's decision.,Candidate for a recruiter coaching note; not yet piloted.,Candidate for messaging review at this journey stage; not yet piloted.,Not yet designed -- requires a defined pilot with pre/post or test/control comparison.,NOT YET TESTED,Pending intervention pilot.
BM-002,Loss Aversion,"SUPPORTED evidence (chi_square_test, p=0.0000, adjusted p=0.0000); direction: lower_joining_with_mechanism.",Whether this association replicates on held-out data (not yet run); whether it is causal; whether it holds within specific client segments.,"When you notice evidence resembling 'Loss Aversion' around submitted, ask an open follow-up question rather than assuming intent.",Investigate the specific situation; do not treat this pattern as predictive of any individual candidate's decision.,Candidate for a recruiter coaching note; not yet piloted.,Candidate for messaging review at this journey stage; not yet piloted.,Not yet designed -- requires a defined pilot with pre/post or test/control comparison.,NOT YET TESTED,Pending intervention pilot.
BM-020,Commitment / Consistency,"SUPPORTED evidence (chi_square_test, p=0.0000, adjusted p=0.0000); direction: higher_joining_with_mechanism.",Whether this association replicates on held-out data (not yet run); whether it is causal; whether it holds within specific client segments.,"When you notice evidence resembling 'Commitment / Consistency' around background_check, ask an open follow-up question rather than assuming intent.",Investigate the specific situation; do not treat this pattern as predictive of any individual candidate's decision.,Candidate for a recruiter coaching note; not yet piloted.,Candidate for messaging review at this journey stage; not yet piloted.,Not yet designed -- requires a defined pilot with pre/post or test/control comparison.,NOT YET TESTED,Pending intervention pilot.
BM-013,Anchoring,"INCONCLUSIVE evidence (fishers_exact_test, p=0.4591, adjusted p=0.5611); direction: lower_joining_with_mechanism.",Whether this association replicates on held-out data (not yet run); whether it is causal; whether it holds within specific client segments.,"When you notice evidence resembling 'Anchoring' around client_interview_1, ask an open follow-up question rather than assuming intent.",Investigate the specific situation; do not treat this pattern as predictive of any individual candidate's decision.,Candidate for a recruiter coaching note; not yet piloted.,Candidate for messaging review at this journey stage; not yet piloted.,Not yet designed -- requires a defined pilot with pre/post or test/control comparison.,NOT YET TESTED,Pending intervention pilot.
BM-018,Identity Signaling,"SUPPORTED evidence (chi_square_test, p=0.0000, adjusted p=0.0000); direction: higher_joining_with_mechanism.",Whether this association replicates on held-out data (not yet run); whether it is causal; whether it holds within specific client segments.,"When you notice evidence resembling 'Identity Signaling' around background_check, ask an open follow-up question rather than assuming intent.",Investigate the specific situation; do not treat this pattern as predictive of any individual candidate's decision.,Candidate for a recruiter coaching note; not yet piloted.,Candidate for messaging review at this journey stage; not yet piloted.,Not yet designed -- requires a defined pilot with pre/post or test/control comparison.,NOT YET TESTED,Pending intervention pilot.
BM-011,Reciprocity,"INCONCLUSIVE evidence (chi_square_test, p=0.9006, adjusted p=0.9006); direction: higher_joining_with_mechanism.",Whether this association replicates on held-out data (not yet run); whether it is causal; whether it holds within specific client segments.,"When you notice evidence resembling 'Reciprocity' around submitted, ask an open follow-up question rather than assuming intent.",Investigate the specific situation; do not treat this pattern as predictive of any individual candidate's decision.,Candidate for a recruiter coaching note; not yet piloted.,Candidate for messaging review at this journey stage; not yet piloted.,Not yet designed -- requires a defined pilot with pre/post or test/control comparison.,NOT YET TESTED,Pending intervention pilot.
BM-006,Friction,"WEAK evidence (chi_square_test, p=0.0002, adjusted p=0.0005); direction: higher_joining_with_mechanism.",Whether this association replicates on held-out data (not yet run); whether it is causal; whether it holds within specific client segments.,"When you notice evidence resembling 'Friction' around submitted, ask an open follow-up question rather than assuming intent.",Investigate the specific situation; do not treat this pattern as predictive of any individual candidate's decision.,Candidate for a recruiter coaching note; not yet piloted.,Candidate for messaging review at this journey stage; not yet piloted.,Not yet designed -- requires a defined pilot with pre/post or test/control comparison.,NOT YET TESTED,Pending intervention pilot.
BM-023,Goal Gradient,"INCONCLUSIVE evidence (chi_square_test, p=0.2605, adjusted p=0.3582); direction: higher_joining_with_mechanism.",Whether this association replicates on held-out data (not yet run); whether it is causal; whether it holds within specific client segments.,"When you notice evidence resembling 'Goal Gradient' around background_check, ask an open follow-up question rather than assuming intent.",Investigate the specific situation; do not treat this pattern as predictive of any individual candidate's decision.,Candidate for a recruiter coaching note; not yet piloted.,Candidate for messaging review at this journey stage; not yet piloted.,Not yet designed -- requires a defined pilot with pre/post or test/control comparison.,NOT YET TESTED,Pending intervention pilot.
BM-029,Uncertainty / Ambiguity Aversion,"INCONCLUSIVE evidence (chi_square_test, p=0.2520, adjusted p=0.3582); direction: lower_joining_with_mechanism.",Whether this association replicates on held-out data (not yet run); whether it is causal; whether it holds within specific client segments.,"When you notice evidence resembling 'Uncertainty / Ambiguity Aversion' around submitted, ask an open follow-up question rather than assuming intent.",Investigate the specific situation; do not treat this pattern as predictive of any individual candidate's decision.,Candidate for a recruiter coaching note; not yet piloted.,Candidate for messaging review at this journey stage; not yet piloted.,Not yet designed -- requires a defined pilot with pre/post or test/control comparison.,NOT YET TESTED,Pending intervention pilot.
