log_id,application_id,timestamp,source_type,direction,text,word_count,response_latency_hours
LOG-000001,APP-00001,2024-07-31,recruiter_note,internal,"Proactive check-in call, cadnidate remains highly engaged and positive.",9,8.8
LOG-000002,APP-00001,2024-08-06,recruiter_note,internal,"Weekly touchpoint completed, candidate expressed appreciation for communication. Wll circle back if anything changes.",14,2.2
LOG-000003,APP-00001,2024-09-06,recruiter_note,internal,"Weekly touchpoint completed, candidate expressed appreciation for communication.",8,9.8
LOG-000004,APP-00001,2024-09-24,candidate_message,candidate_facing,"Good morning, really looking forawrd to getting started, thannks for everything.",11,8.7
LOG-000005,APP-00002,2025-03-19,recruiter_note,internal,"Per today's call, candidate asked about contract length/conversion path, gave what info we have.",14,6.0
LOG-000006,APP-00002,2025-03-27,recruiter_note,internal,Discussed typical assignment duration at this client with candidate.,9,8.3
LOG-000007,APP-00002,2025-03-27,candidate_message,candidate_facing,"Good afternoon, I guuess how long do...",7,1.3
LOG-000008,APP-00002,2025-04-01,candidate_message,candidate_facing,juust want to understand how stable this assignment is before I commit.,12,6.1
LOG-000009,APP-00002,2025-04-15,candidate_message,candidate_facing,sort of how long do these contracts usually run at this client? Best,13,6.7
LOG-000010,APP-00003,2025-01-09,candidate_message,candidate_facing,just want to triple check the start date is sttill the same date?,13,4.4
LOG-000011,APP-00003,2025-01-15,candidate_message,candidate_facing,"sorry, one more question - is eevrything still on track? TY",11,2.8
LOG-000012,APP-00003,2025-01-16,candidate_message,candidate_facing,"sorry, one more question - is everything still on track?",10,7.5
LOG-000013,APP-00004,2024-11-20,candidate_message,candidate_facing,"traffic to thhat location is rough, still deciding if it's manageable.",11,11.7
LOG-000014,APP-00004,2024-11-27,recruiter_note,internal,"Candidate raised commute/transportation concern, discussed options.",6,79.8
LOG-000015,APP-00004,2024-12-01,recruiter_note,internal,"Candidate raised commute/transportation concern, discussed options. Noted for the file.",10,85.2
LOG-000016,APP-00004,2024-12-03,recruiter_note,internal,"Candidate raised commute/transportation concern, discusesd options. Will circle back if anything changes.",12,61.0
LOG-000017,APP-00004,2024-12-12,candidate_message,candidate_facing,"Good afternoon, just realized the commute is longer than I thought, thinking it through.",14,67.0
LOG-000018,APP-00004,2024-12-13,recruiter_note,internal,"Per today's call, candidate raised commute/transportation concern, discussed options. Will chck in again in a few days.",17,28.7
LOG-000019,APP-00004,2024-12-15,candidate_message,candidate_facing,"don't have reliable transportation to that site every day, mighht be an issue.",13,30.4
LOG-000020,APP-00004,2024-12-20,candidate_message,candidate_facing,"just realized the commute is longer than I thought, thinking it through.",12,38.1
LOG-000021,APP-00004,2025-01-01,candidate_message,candidate_facing,"traffic to that location is rough, still deciding if it's manageable.",11,27.3
LOG-000022,APP-00005,2025-03-20,candidate_message,candidate_facing,"not totally sure how that interview went, sort of it felt a little off.",14,11.9
