mapping_id,evidence_id,application_id,mechanism_id,mechanism_name,mapping_reason,supporting_context,contradictory_context,mapping_confidence,alternative_mechanism_id,alternative_reason,mapping_status,human_mapping_decision,human_selected_mechanism,human_mapping_notes
MAP-EV-c098165357f6,EV-c098165357f6,APP-00004,BM-001,Status Quo Bias,Commute/transport evidence indicates resistance or hesitation about changing an established travel routine to adapt to the new job location; proposed as Status Quo Bias for human validation.,,,MODERATE,,BM-006 Friction,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-fc6332dc18ef,EV-fc6332dc18ef,APP-00004,BM-001,Status Quo Bias,Commute/transport evidence indicates resistance or hesitation about changing an established travel routine to adapt to the new job location; proposed as Status Quo Bias for human validation.,,,MODERATE,,BM-006 Friction,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-5bf090faa25f,EV-5bf090faa25f,APP-00008,BM-006,Friction,The schedule/shift constraint is a concrete practical obstacle that increases effort or difficulty.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-ec72e3549064,EV-ec72e3549064,APP-00017,,,Positive forward-looking language is not enough for Commitment/Consistency; the library requires a specific prior commitment as the reason for continuing.,,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-914d75e44be1,EV-914d75e44be1,APP-00026,,,"Response brevity/speed is an observable communication signal, but it does not by itself satisfy a frozen mechanism's evidence requirement.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-2da13c01cc11,EV-2da13c01cc11,APP-00032,BM-029,Uncertainty / Ambiguity Aversion,The candidate is seeking certainty or reacting to uncertainty around the expected joining date.,,,MODERATE,,BM-006 Friction,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-003be45f1be0,EV-003be45f1be0,APP-00036,BM-029,Uncertainty / Ambiguity Aversion,The candidate is seeking certainty or reacting to uncertainty around the expected joining date.,,,MODERATE,,BM-006 Friction,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-deb5f83a443b,EV-deb5f83a443b,APP-00037,BM-029,Uncertainty / Ambiguity Aversion,"The candidate is seeking predictability about contract duration/stability, directly expressing uncertainty about what to expect.",,,HIGH,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-4c02bf717d1c,EV-4c02bf717d1c,APP-00044,BM-013,Anchoring,The compensation judgment is explicitly made relative to an earlier expectation or reference amount.,,,HIGH,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-c4678c5d3395,EV-c4678c5d3395,APP-00045,BM-006,Friction,"The evidence describes a concrete onboarding/documentation step, repetition, delay, or point of confusion that can add effort.",,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-3e006ea895c5,EV-3e006ea895c5,APP-00045,BM-006,Friction,"The evidence describes a concrete onboarding/documentation step, repetition, delay, or point of confusion that can add effort.",,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-27b86d028d25,EV-27b86d028d25,APP-00053,BM-029,Uncertainty / Ambiguity Aversion,The mismatch/changed information creates ambiguity about what the role will actually involve.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-a8d743deb623,EV-a8d743deb623,APP-00053,BM-029,Uncertainty / Ambiguity Aversion,The mismatch/changed information creates ambiguity about what the role will actually involve.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-26942843b0c7,EV-26942843b0c7,APP-00059,BM-029,Uncertainty / Ambiguity Aversion,"The candidate is seeking predictability about contract duration/stability, directly expressing uncertainty about what to expect.",,,HIGH,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-3992bf95675a,EV-3992bf95675a,APP-00059,BM-029,Uncertainty / Ambiguity Aversion,"The candidate is seeking predictability about contract duration/stability, directly expressing uncertainty about what to expect.",,,HIGH,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-5c9d6f0007f6,EV-5c9d6f0007f6,APP-00063,BM-029,Uncertainty / Ambiguity Aversion,The statement centers on not knowing what to expect and seeking greater predictability.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-efc9cfbc50e7,EV-efc9cfbc50e7,APP-00070,BM-029,Uncertainty / Ambiguity Aversion,The statement centers on not knowing what to expect and seeking greater predictability.,,,HIGH,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-8cbc4304b48c,EV-8cbc4304b48c,APP-00072,BM-029,Uncertainty / Ambiguity Aversion,The question seeks predictability about employment duration/stability.,,,HIGH,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
