scenario_id,scenario_name,mechanism_id,mechanism_name,observable_evidence,journey_stage,alternative_explanation,information_gap,outcome_association,mapping_source
SCN-02c1dbc51f2e,Goal Gradient — background_check,BM-023,Goal Gradient,just want to triple check the start date is sttill the same date?,background_check,'Present Bias (Hyperbolic Discounting)' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-024); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-01ca24ced9ed,Uncertainty / Ambiguity Aversion — screened,BM-029,Uncertainty / Ambiguity Aversion,"traffic to thhat location is rough, still deciding if it's manageable.",screened,'Status Quo Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-001); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-e7bf3cd1739f,Status Quo Bias — screened,BM-001,Status Quo Bias,"traffic to thhat location is rough, still deciding if it's manageable.",screened,BM-006 Friction,Mapping confidence (0.00) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",HUMAN_REVIEWED
SCN-3be026305842,Status Quo Bias — client_interview_1,BM-001,Status Quo Bias,"Candidate raised commute/transportation concern, discussed options.",client_interview_1,BM-006 Friction,Mapping confidence (0.00) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",HUMAN_REVIEWED
SCN-9894f8f1d625,Friction — client_interview_2,BM-006,Friction,"Candidate raised commute/transportation concern, discussed options. Noted for the file.",client_interview_2,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-c076b04217e4,Friction — client_interview_2,BM-006,Friction,"Candidate raised commute/transportation concern, discusesd options. Will circle back if anything changes.",client_interview_2,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-e6abc893e07b,Friction — offer_accepted,BM-006,Friction,"Good afternoon, just realized the commute is longer than I thought, thinking it through.",offer_accepted,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-08bd0286ac36,Friction — offer_accepted,BM-006,Friction,"Per today's call, candidate raised commute/transportation concern, discussed options. Will chck in again in a few days.",offer_accepted,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-1e814820b132,Friction — offer_accepted,BM-006,Friction,"don't have reliable transportation to that site every day, mighht be an issue.",offer_accepted,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-ef9c5eb3f65c,Friction — background_check,BM-006,Friction,"just realized the commute is longer than I thought, thinking it through.",background_check,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-dcfffcb8a316,Uncertainty / Ambiguity Aversion — onboarding_docs_sent,BM-029,Uncertainty / Ambiguity Aversion,"traffic to that location is rough, still deciding if it's manageable.",onboarding_docs_sent,'Status Quo Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-001); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-acfce73e22ba,Friction — onboarding_docs_sent,BM-006,Friction,"traffic to that location is rough, still deciding if it's manageable.",onboarding_docs_sent,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-a6b704e5b515,Uncertainty / Ambiguity Aversion — submitted,BM-029,Uncertainty / Ambiguity Aversion,"not totally sure how that interview went, sort of it felt a little off.",submitted,'Status Quo Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-001); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-c9e271ece390,Uncertainty / Ambiguity Aversion — client_interview_1,BM-029,Uncertainty / Ambiguity Aversion,"Hi there, not totally sure how that interview went, not sure if this matters but it felt a little off. Appreciate it",client_interview_1,'Status Quo Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-001); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
