requisition_id,client_account_id,job_title,job_family,location_city,location_state,work_arrangement,contract_type,requisition_open_date
REQ-00001,CLI-004,Software Engineer,IT/Technology,Atlanta,GA,remote,W2 Contract,2024-04-19
REQ-00002,CLI-002,Medical Coder,Healthcare,Austin,TX,onsite,W2 Contract,2025-06-06
REQ-00003,CLI-002,Physical Therapist Asst.,Healthcare,St. Louis,MO,hybrid,W2 Contract,2024-10-16
REQ-00004,CLI-003,AR Specialist,Finance/Accounting,Tampa,FL,hybrid,W2 Contract,2024-06-13
REQ-00005,CLI-002,Certified Nursing Assistant,Healthcare,Columbus,OH,onsite,W2 Contract,2024-12-23
REQ-00006,CLI-007,Registered Nurse,Healthcare,Philadelphia,PA,onsite,1099,2025-01-27
REQ-00007,CLI-009,Manufacturing Engineer,Engineering,Charlotte,NC,remote,Direct Hire,2025-01-10
REQ-00008,CLI-001,Shipping/Receiving Clerk,Light Industrial,Houston,TX,onsite,W2 Contract,2024-10-28
REQ-00009,CLI-001,General Laborer,Light Industrial,Jacksonville,FL,hybrid,W2 Contract,2025-01-13
REQ-00010,CLI-002,Certified Nursing Assistant,Healthcare,Phoenix,AZ,onsite,W2 Contract,2024-03-19
REQ-00011,CLI-005,Manufacturing Engineer,Engineering,Jacksonville,FL,onsite,W2 Contract,2024-08-17
REQ-00012,CLI-009,Project Engineer,Engineering,Austin,TX,onsite,W2 Contract,2024-11-24
REQ-00013,CLI-007,Pharmacy Technician,Healthcare,Houston,TX,onsite,1099,2024-11-23
REQ-00014,CLI-007,Phlebotomist,Healthcare,Tucson,AZ,remote,Contract-to-Hire,2024-10-03
REQ-00015,CLI-001,Forklift Operator,Light Industrial,Nashville,TN,onsite,Direct Hire,2025-03-19
REQ-00016,CLI-003,Financial Analyst,Finance/Accounting,Jacksonville,FL,onsite,Contract-to-Hire,2024-04-08
REQ-00017,CLI-011,General Laborer,Light Industrial,Columbus,OH,onsite,W2 Contract,2025-03-13
REQ-00018,CLI-008,DevOps Engineer,IT/Technology,Tucson,AZ,hybrid,Contract-to-Hire,2024-09-19
REQ-00019,CLI-011,Shipping/Receiving Clerk,Light Industrial,Columbus,OH,onsite,Contract-to-Hire,2024-10-05
REQ-00020,CLI-011,Administrative Assistant,Administrative/Professional,Charlotte,NC,onsite,Contract-to-Hire,2024-10-01
REQ-00021,CLI-009,Manufacturing Engineer,Engineering,Columbus,OH,hybrid,Direct Hire,2025-06-08
REQ-00022,CLI-009,Civil Engineer,Engineering,Phoenix,AZ,remote,1099,2024-01-06
REQ-00023,CLI-007,Phlebotomist,Healthcare,Dallas,TX,onsite,W2 Contract,2024-11-15
REQ-00024,CLI-009,Mechanical Engineer,Engineering,Jacksonville,FL,onsite,W2 Contract,2025-05-17
REQ-00025,CLI-006,AR Specialist,Finance/Accounting,Nashville,TN,onsite,Direct Hire,2024-06-23
REQ-00026,CLI-001,Material Handler,Light Industrial,Kansas City,MO,onsite,W2 Contract,2024-07-29
REQ-00027,CLI-003,Payroll Specialist,Finance/Accounting,Milwaukee,WI,hybrid,Contract-to-Hire,2025-06-18
REQ-00028,CLI-009,Mechanical Engineer,Engineering,Jacksonville,FL,onsite,W2 Contract,2024-08-28
REQ-00029,CLI-009,Mechanical Engineer,Engineering,Houston,TX,onsite,W2 Contract,2024-02-07
REQ-00030,CLI-006,Administrative Assistant,Administrative/Professional,Indianapolis,IN,hybrid,Direct Hire,2024-08-12
REQ-00031,CLI-001,Shipping/Receiving Clerk,Light Industrial,Memphis,TN,onsite,W2 Contract,2025-05-04
REQ-00032,CLI-005,Forklift Operator,Light Industrial,Columbus,OH,onsite,Contract-to-Hire,2025-03-14
REQ-00033,CLI-009,Quality Engineer,Engineering,Austin,TX,onsite,1099,2024-04-15
REQ-00034,CLI-011,Machine Operator,Light Industrial,Raleigh,NC,onsite,W2 Contract,2024-07-18
REQ-00035,CLI-005,Forklift Operator,Light Industrial,Chicago,IL,onsite,Contract-to-Hire,2024-03-23
REQ-00036,CLI-009,Project Engineer,Engineering,Nashville,TN,onsite,Direct Hire,2024-01-21
