application_id,evidence_id,evidence_span,journey_stage,mechanism_id,mechanism_name,mapping_reason,mapping_source,mapping_confidence,alternative_mechanism_id,alternative_reason,information_gap,research_split
APP-00003,EV-5608620cd104,just want to triple check the start date is sttill the same date?,background_check,BM-023,Goal Gradient,Evidence category 'joining_date' is a documented candidate signal for 'Goal Gradient' (Motivation & Goals); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-024,'Present Bias (Hyperbolic Discounting)' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00003,EV-ea48066271bb,just want to triple check the start date is sttill the same date?,background_check,,,"NO_SUPPORTED_MECHANISM -- no library mechanism had sufficient, uncontradicted contextual support for this evidence category.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.0,,,Not human-reviewed; model found no supported mechanism.,discovery
APP-00003,EV-41e12b5a32c4,"sorry, one more question - is everything still on track?",background_check,,,"NO_SUPPORTED_MECHANISM -- no library mechanism had sufficient, uncontradicted contextual support for this evidence category.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.0,,,Not human-reviewed; model found no supported mechanism.,discovery
APP-00004,EV-33b9a9b13964,"traffic to thhat location is rough, still deciding if it's manageable.",screened,BM-029,Uncertainty / Ambiguity Aversion,"Evidence category 'certainty_uncertainty' is a documented candidate signal for 'Uncertainty / Ambiguity Aversion' (Trust, Risk & Uncertainty); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-001,'Status Quo Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00004,EV-c098165357f6,"traffic to thhat location is rough, still deciding if it's manageable.",screened,BM-001,Status Quo Bias,Commute/transport evidence indicates resistance or hesitation about changing an established travel routine to adapt to the new job location; proposed as Status Quo Bias for human validation.,HUMAN_REVIEWED,MODERATE,,BM-006 Friction,None -- human reviewed,discovery
APP-00004,EV-fc6332dc18ef,"Candidate raised commute/transportation concern, discussed options.",client_interview_1,BM-001,Status Quo Bias,Commute/transport evidence indicates resistance or hesitation about changing an established travel routine to adapt to the new job location; proposed as Status Quo Bias for human validation.,HUMAN_REVIEWED,MODERATE,,BM-006 Friction,None -- human reviewed,discovery
APP-00004,EV-2d476377bb91,"Candidate raised commute/transportation concern, discussed options. Noted for the file.",client_interview_2,BM-006,Friction,Evidence category 'location_commute' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00004,EV-2cd0ed9759da,"Candidate raised commute/transportation concern, discusesd options. Will circle back if anything changes.",client_interview_2,BM-006,Friction,Evidence category 'location_commute' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00004,EV-58e633d4c3bb,"Good afternoon, just realized the commute is longer than I thought, thinking it through.",offer_accepted,BM-006,Friction,Evidence category 'location_commute' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00004,EV-558c2f9ceb6e,"Per today's call, candidate raised commute/transportation concern, discussed options. Will chck in again in a few days.",offer_accepted,BM-006,Friction,Evidence category 'location_commute' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
