scenario_id,scenario_name,mechanism_id,mechanism_name,observable_evidence,journey_stage,alternative_explanation,information_gap,outcome_association
SCN-20a603ced70d,Status Quo Bias — location_commute,BM-001,Status Quo Bias,"traffic to thhat location is rough, still deciding if it's manageable.",screened,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-b49d3f55c539,Status Quo Bias — location_commute,BM-001,Status Quo Bias,"Candidate raised commute/transportation concern, discussed options.",client_interview_1,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-4aa855600cab,Friction — schedule_shift,BM-006,Friction,"Discussed shift schedule concerns with candidate, checked with client on flexibility.",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-f029b2c61c50,Uncertainty / Ambiguity Aversion — joining_date,BM-029,Uncertainty / Ambiguity Aversion,"Discussed candidate's family situation briefly, offered flexibility on start date.",unknown,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-38c10f99a546,Uncertainty / Ambiguity Aversion — joining_date,BM-029,Uncertainty / Ambiguity Aversion,Working with candidate and client to adjust start date around notice period. Nothing further to add right now.,submitted,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-020bcfd6b97c,Uncertainty / Ambiguity Aversion — job_security_concern,BM-029,Uncertainty / Ambiguity Aversion,"Candidate asked about contract length/conversion path, gave what info we have.",offer_accepted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association."
SCN-835b8ff79356,Anchoring — compensation_concern,BM-013,Anchoring,"Hi there, the rate is a little lower than I was expecting honestly. Taalk soon",offer_accepted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-840dd0df4d97,Friction — onboarding_process,BM-006,Friction,"Candidate asked several onboarding logistics questions, answered all of them.",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-0adf29ecf402,Friction — onboarding_process,BM-006,Friction,"Good afternoon, sorry to ask again, but what should I bring on day one?",onboarding_docs_sent,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-b0f5204d1d72,Uncertainty / Ambiguity Aversion — expectation_setting,BM-029,Uncertainty / Ambiguity Aversion,the scope sounds a little different than what we discuussed earlier.,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association."
SCN-07c2ea80f334,Uncertainty / Ambiguity Aversion — expectation_setting,BM-029,Uncertainty / Ambiguity Aversion,the scope sounds a little different than what we discussed earlier.,background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association."
SCN-b0cad729aae6,Uncertainty / Ambiguity Aversion — job_security_concern,BM-029,Uncertainty / Ambiguity Aversion,"FYI, candidate askde about contract length/conversion path, gave what info we have. Will circle back if anything changes.",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-63109e5e6e9e,Uncertainty / Ambiguity Aversion — job_security_concern,BM-029,Uncertainty / Ambiguity Aversion,just want to understand how stable this assignment is before I commit.,background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
