evidence_id,exact_text_duplicate_count,normalized_text_duplicate_count,same_application_duplicate,same_log_multi_category_count,multi_category_span,is_high_frequency_template,information_quality,duplication_status,quality_notes
EV-5608620cd104,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-ea48066271bb,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-41e12b5a32c4,6,6,False,1,False,False,high,repeated_but_usable,exact text repeated 6x overall
EV-33b9a9b13964,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-c098165357f6,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-fc6332dc18ef,44,44,False,1,False,True,medium,likely_template,exact text repeated 44x overall; appears across 29 distinct applications (>= 8 treated as template-scale)
EV-2d476377bb91,4,4,False,1,False,False,high,repeated_but_usable,exact text repeated 4x overall
EV-2cd0ed9759da,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-58e633d4c3bb,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-558c2f9ceb6e,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-4610b43d961e,3,3,False,1,False,False,high,repeated_but_usable,exact text repeated 3x overall
EV-d8024501f44d,8,8,False,1,False,True,medium,likely_template,exact text repeated 8x overall; appears across 8 distinct applications (>= 8 treated as template-scale)
EV-dc8f551193b9,22,22,True,2,True,True,medium,same_application_duplicate,exact text repeated 22x overall; also repeated within the same application; appears across 11 distinct applications (>= 8 treated as template-scale); same source message produced 2 different evidence categories
EV-045afcc9e6a7,22,22,True,2,True,True,medium,same_application_duplicate,exact text repeated 22x overall; also repeated within the same application; appears across 11 distinct applications (>= 8 treated as template-scale); same source message produced 2 different evidence categories
EV-909d3aec6e83,5,5,False,1,False,False,high,repeated_but_usable,exact text repeated 5x overall
EV-22e210bdeca6,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-f1266225e47f,3,3,True,3,True,False,high,same_application_duplicate,exact text repeated 3x overall; also repeated within the same application; same source message produced 3 different evidence categories
EV-08b8dd7a11ce,3,3,True,3,True,False,high,same_application_duplicate,exact text repeated 3x overall; also repeated within the same application; same source message produced 3 different evidence categories
EV-9b4778aa232d,3,3,True,3,True,False,high,same_application_duplicate,exact text repeated 3x overall; also repeated within the same application; same source message produced 3 different evidence categories
EV-84933b378067,7,7,False,1,False,False,high,repeated_but_usable,exact text repeated 7x overall
EV-5bf090faa25f,25,25,False,1,False,True,medium,likely_template,exact text repeated 25x overall; appears across 18 distinct applications (>= 8 treated as template-scale)
EV-ba8eac09b489,2,2,False,1,False,False,high,repeated_but_usable,exact text repeated 2x overall
EV-f1ed30ef7b52,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-e41aa391e99d,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-6b4cfde70e92,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-dbba9da7e534,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-39fd4467b1da,6,6,True,2,True,False,high,same_application_duplicate,exact text repeated 6x overall; also repeated within the same application; same source message produced 2 different evidence categories
