review_sample_id,evidence_id,application_id,log_id,timestamp,source_type,direction,evidence_span,evidence_category,evidence_description,context_before,context_after,response_latency_hours,extractor_confidence,information_quality,duplication_status,human_decision,human_evidence_category,human_description,human_notes
REV-0001,EV-c098165357f6,APP-00004,LOG-000013,2024-11-20 00:00:00,candidate_message,candidate_facing,"traffic to thhat location is rough, still deciding if it's manageable.",location_commute,Candidate raises a comment or concern about commute/location.,,"Candidate raised commute/transportation concern, discussed options.",11.7,0.6,high,same_application_duplicate,PENDING,,,
REV-0002,EV-fc6332dc18ef,APP-00004,LOG-000014,2024-11-27 00:00:00,recruiter_note,internal,"Candidate raised commute/transportation concern, discussed options.",location_commute,Candidate raises a comment or concern about commute/location.,"traffic to thhat location is rough, still deciding if it's manageable.","Candidate raised commute/transportation concern, discussed options. Noted for the file.",79.8,0.6,medium,likely_template,PENDING,,,
REV-0003,EV-5bf090faa25f,APP-00008,LOG-000046,2025-06-28 00:00:00,recruiter_note,internal,"Discussed shift schedule concerns with candidate, checked with client on flexibility.",schedule_shift,Candidate raises a comment about shift or schedule.,"the schedule might conflict with childcare, seeing what I can work out.","the schedule might conflict with childcare, seing what I can work out. Thanks!",12.9,0.6,medium,likely_template,PENDING,,,
REV-0004,EV-ec72e3549064,APP-00017,LOG-000111,2024-03-14 00:00:00,candidate_message,candidate_facing,"this roel sounds like a geat fit, can't wait to get started.",commitment_language,Candidate uses language expressing forward commitment to the role.,this role sounds like a great,,9.6,0.6,high,unique,PENDING,,,
REV-0005,EV-914d75e44be1,APP-00026,LOG-000150,2024-11-02 00:00:00,candidate_message,candidate_facing,sounds good to me.,responsiveness,"Candidate gives a brief, low-elaboration response.",,"Hi there, souds good to me. Talk soon",4.1,0.45,medium,repeated_but_usable,PENDING,,,
REV-0006,EV-2da13c01cc11,APP-00032,LOG-000206,2024-04-22 00:00:00,recruiter_note,internal,"Discussed candidate's family situation briefly, offered flexibility on start date.",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",,we're dealing witth a relocation,1.7,0.6,medium,likely_template,PENDING,,,
REV-0007,EV-003be45f1be0,APP-00036,LOG-000229,2024-06-18 00:00:00,recruiter_note,internal,Working with candidate and client to adjust start date around notice period. Nothing further to add right now.,joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",,boss is asking me to stay lnoger than I expected to finish up a project.,9.5,0.6,high,repeated_but_usable,PENDING,,,
REV-0008,EV-deb5f83a443b,APP-00037,LOG-000246,2025-06-19 00:00:00,recruiter_note,internal,"Candidate asked about contract length/conversion path, gave what info we have.",job_security_concern,Candidate asks about role stability or long-term security.,just wnt to understand how stable this assignment...,,18.4,0.6,medium,likely_template,PENDING,,,
REV-0009,EV-4c02bf717d1c,APP-00044,LOG-000291,2024-05-28 00:00:00,candidate_message,candidate_facing,"Hi there, the rate is a little lower than I was expecting honestly. Taalk soon",compensation_concern,Candidate raises a question or concern about compensation.,Candidate seems okay with comp after clarifying overtime/differential. No action needed at this time.,,10.0,0.6,high,unique,PENDING,,,
REV-0010,EV-c4678c5d3395,APP-00045,LOG-000296,2025-05-14 00:00:00,recruiter_note,internal,"Candidate asked several onboarding logistics questions, answered all of them.",onboarding_process,Candidate asks about onboarding logistics.,"Candidate asked several onboarding logistics questions, answered all of them. Will check in aagin in a few days.","Good morning, wanted to double check the parking/badge situation one morre time.",13.5,0.45,medium,likely_template,PENDING,,,
REV-0011,EV-3e006ea895c5,APP-00045,LOG-000301,2025-06-10 00:00:00,candidate_message,candidate_facing,"Good afternoon, sorry to ask again, but what should I bring on day one?",onboarding_process,Candidate asks about onboarding logistics.,"FYI, candidate asked several onboarding logistics questions, answered all of them.",,92.1,0.45,high,same_application_duplicate,PENDING,,,
