evidence_id,application_id,original_evidence_span,original_evidence_category,original_evidence_description,original_evidence_strength,review_decision,edited_evidence_category,edited_evidence_description,edited_evidence_strength,reviewer,review_timestamp,reviewer_notes
EV-5608620cd104,APP-00003,just want to triple check the start date is sttill the same date?,joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,pending,,,,,,
EV-ea48066271bb,APP-00003,just want to triple check the start date is sttill the same date?,candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-41e12b5a32c4,APP-00003,"sorry, one more question - is everything still on track?",candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-33b9a9b13964,APP-00004,"traffic to thhat location is rough, still deciding if it's manageable.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,pending,,,,,,
EV-c098165357f6,APP-00004,"traffic to thhat location is rough, still deciding if it's manageable.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,pending,,,,,,
EV-fc6332dc18ef,APP-00004,"Candidate raised commute/transportation concern, discussed options.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,pending,,,,,,
EV-2d476377bb91,APP-00004,"Candidate raised commute/transportation concern, discussed options. Noted for the file.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,pending,,,,,,
EV-2cd0ed9759da,APP-00004,"Candidate raised commute/transportation concern, discusesd options. Will circle back if anything changes.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,pending,,,,,,
EV-58e633d4c3bb,APP-00004,"Good afternoon, just realized the commute is longer than I thought, thinking it through.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,pending,,,,,,
EV-558c2f9ceb6e,APP-00004,"Per today's call, candidate raised commute/transportation concern, discussed options. Will chck in again in a few days.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,pending,,,,,,
EV-4610b43d961e,APP-00004,"don't have reliable transportation to that site every day, mighht be an issue.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,pending,,,,,,
EV-d8024501f44d,APP-00004,"just realized the commute is longer than I thought, thinking it through.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,pending,,,,,,
EV-dc8f551193b9,APP-00004,"traffic to that location is rough, still deciding if it's manageable.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,pending,,,,,,
EV-045afcc9e6a7,APP-00004,"traffic to that location is rough, still deciding if it's manageable.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,pending,,,,,,
EV-909d3aec6e83,APP-00005,"not totally sure how that interview went, sort of it felt a little off.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,pending,,,,,,
EV-22e210bdeca6,APP-00005,"Hi there, not totally sure how that interview went, not sure if this matters but it felt a little off. Appreciate it",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,pending,,,,,,
EV-f1266225e47f,APP-00005,"Hi there, Still thinking abut how the interview went and decided to step back, sorry.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,pending,,,,,,
EV-08b8dd7a11ce,APP-00005,"Hi there, Still thinking abut how the interview went and decided to step back, sorry.",candidate_hesitation,Candidate's language reflects hesitation or delay in decision-making.,moderate,pending,,,,,,
EV-9b4778aa232d,APP-00005,"Hi there, Still thinking abut how the interview went and decided to step back, sorry.",withdrawal_language,Communication contains explicit withdrawal or declination language.,strong,pending,,,,,,
EV-84933b378067,APP-00008,"the schedule might conflict with childcare, seeing what I can work out.",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,pending,,,,,,
EV-5bf090faa25f,APP-00008,"Discussed shift schedule concerns with candidate, checked with client on flexibility.",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,pending,,,,,,
EV-ba8eac09b489,APP-00008,"the schedule might conflict with childcare, seing what I can work out. Thanks!",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,pending,,,,,,
EV-f1ed30ef7b52,APP-00008,"The shift doesn't work with my childcare situation, sorry, have to pass. Appreiate it",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,pending,,,,,,
EV-e41aa391e99d,APP-00008,"The shift doesn't work with my childcare situation, sorry, have to pass. Appreiate it",withdrawal_language,Communication contains explicit withdrawal or declination language.,strong,pending,,,,,,
EV-6b4cfde70e92,APP-00012,"Offer letter delayed on client side, candidate starting to ask about it. No action needed at this time.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,pending,,,,,,
EV-dbba9da7e534,APP-00012,"Offer letter delayed on client side, candidate starting to ask about it. No action needed at this time.",process_delay,Communication references a delay in the recruitment process.,moderate,pending,,,,,,
