evidence_id,application_id,log_id,timestamp,source_type,direction,evidence_span,evidence_category,evidence_description,evidence_strength,context_before,context_after,response_latency_hours,extractor_confidence,review_status,reviewer_notes
EV-5608620cd104,APP-00003,LOG-000010,2025-01-09 00:00:00,candidate_message,candidate_facing,just want to triple check the start date is sttill the same date?,joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,,"sorry, one more question - is eevrything still on track? TY",4.4,0.6,pending,
EV-ea48066271bb,APP-00003,LOG-000010,2025-01-09 00:00:00,candidate_message,candidate_facing,just want to triple check the start date is sttill the same date?,candidate_questions,Candidate asks a direct question.,weak,,"sorry, one more question - is eevrything still on track? TY",4.4,0.45,pending,
EV-41e12b5a32c4,APP-00003,LOG-000012,2025-01-16 00:00:00,candidate_message,candidate_facing,"sorry, one more question - is everything still on track?",candidate_questions,Candidate asks a direct question.,weak,"sorry, one more question - is eevrything still on track? TY",,7.5,0.45,pending,
EV-33b9a9b13964,APP-00004,LOG-000013,2024-11-20 00:00:00,candidate_message,candidate_facing,"traffic to thhat location is rough, still deciding if it's manageable.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,,"Candidate raised commute/transportation concern, discussed options.",11.7,0.6,pending,
EV-c098165357f6,APP-00004,LOG-000013,2024-11-20 00:00:00,candidate_message,candidate_facing,"traffic to thhat location is rough, still deciding if it's manageable.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,,"Candidate raised commute/transportation concern, discussed options.",11.7,0.6,pending,
EV-fc6332dc18ef,APP-00004,LOG-000014,2024-11-27 00:00:00,recruiter_note,internal,"Candidate raised commute/transportation concern, discussed options.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,"traffic to thhat location is rough, still deciding if it's manageable.","Candidate raised commute/transportation concern, discussed options. Noted for the file.",79.8,0.6,pending,
EV-2d476377bb91,APP-00004,LOG-000015,2024-12-01 00:00:00,recruiter_note,internal,"Candidate raised commute/transportation concern, discussed options. Noted for the file.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,"Candidate raised commute/transportation concern, discussed options.","Candidate raised commute/transportation concern, discusesd options. Will circle back if anything changes.",85.2,0.6,pending,
EV-2cd0ed9759da,APP-00004,LOG-000016,2024-12-03 00:00:00,recruiter_note,internal,"Candidate raised commute/transportation concern, discusesd options. Will circle back if anything changes.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,"Candidate raised commute/transportation concern, discussed options. Noted for the file.","Good afternoon, just realized the commute is longer than I thought, thinking it through.",61.0,0.6,pending,
EV-58e633d4c3bb,APP-00004,LOG-000017,2024-12-12 00:00:00,candidate_message,candidate_facing,"Good afternoon, just realized the commute is longer than I thought, thinking it through.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,"Candidate raised commute/transportation concern, discusesd options. Will circle back if anything changes.","Per today's call, candidate raised commute/transportation concern, discussed options. Will chck in again in a few days.",67.0,0.6,pending,
EV-558c2f9ceb6e,APP-00004,LOG-000018,2024-12-13 00:00:00,recruiter_note,internal,"Per today's call, candidate raised commute/transportation concern, discussed options. Will chck in again in a few days.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,"Good afternoon, just realized the commute is longer than I thought, thinking it through.","don't have reliable transportation to that site every day, mighht be an issue.",28.7,0.6,pending,
